date,time,type,description,latitude,longitude,district,address
2026-03-11,01:34:00,dowry death,construction site,12.942392,77.627032,Bangalore,"104 {p} {s}, Bangalore"
2026-02-12,08:25:00,kidnapping,bridge,19.064723,72.869387,Mumbai,"40 {p} {s}, Mumbai"
2026-03-24,08:37:00,fraud,bazaar,26.791321,80.908238,Lucknow,"175 {p} {s}, Lucknow"
2026-03-13,14:14:00,theft,mosque,12.970564,77.576301,Bangalore,"76 {p} {s}, Bangalore"
2026-02-24,14:51:00,murder,construction site,23.023867,72.529077,Ahmedabad,"230 {p} {s}, Ahmedabad"
2026-02-24,19:34:00,burglary,mall,18.475005,73.814453,Pune,"103 {p} {s}, Pune"
2026-02-27,04:14:00,assault,highway,18.493115,73.877809,Pune,"86 {p} {s}, Pune"
2026-01-19,22:38:00,murder,mohalla,28.625286,77.202505,Delhi,"7 {p} {s}, Delhi"
2026-03-28,19:41:00,rape,office complex,26.952773,75.806202,Jaipur,"184 {p} {s}, Jaipur"
2026-02-11,05:31:00,kidnapping,school,28.567122,77.241612,Delhi,"251 {p} {s}, Delhi"
2026-03-11,07:01:00,theft,highway,18.491711,73.843523,Pune,"205 {p} {s}, Pune"
2026-03-24,13:56:00,assault,residential area,13.032302,80.264668,Chennai,"468 {p} {s}, Chennai"
2026-03-06,01:58:00,assault,village,28.582298,77.200015,Delhi,"465 {p} {s}, Delhi"
2026-01-12,08:34:00,murder,railway station,26.806059,80.986957,Lucknow,"245 {p} {s}, Lucknow"
2026-02-08,00:47:00,burglary,slum area,28.653907,77.251847,Delhi,"253 {p} {s}, Delhi"
2026-02-04,08:45:00,burglary,bus stand,28.561797,77.255861,Delhi,"395 {p} {s}, Delhi"
2026-01-03,10:33:00,theft,highway,28.580858,77.180865,Delhi,"284 {p} {s}, Delhi"
2026-01-18,11:20:00,robbery,main road,19.064412,72.905042,Mumbai,"116 {p} {s}, Mumbai"
2026-03-20,18:33:00,burglary,bridge,12.964174,77.554902,Bangalore,"226 {p} {s}, Bangalore"
2026-03-19,21:04:00,assault,mohalla,26.832049,80.978015,Lucknow,"125 {p} {s}, Lucknow"
2026-03-02,22:42:00,burglary,bridge,18.548366,73.842313,Pune,"311 {p} {s}, Pune"
2026-03-20,17:49:00,hit and run,temple,13.053254,80.270475,Chennai,"259 {p} {s}, Chennai"
2026-03-11,03:23:00,theft,park,23.036766,72.52406,Ahmedabad,"95 {p} {s}, Ahmedabad"
2026-01-20,01:50:00,murder,residential area,19.051056,72.878097,Mumbai,"243 {p} {s}, Mumbai"
2026-01-17,07:11:00,kidnapping,railway station,17.408804,78.514716,Hyderabad,"368 {p} {s}, Hyderabad"
2026-03-08,22:15:00,fraud,industrial area,18.50218,73.839912,Pune,"489 {p} {s}, Pune"
2026-02-06,15:26:00,hit and run,railway station,22.618936,88.361302,Kolkata,"44 {p} {s}, Kolkata"
2026-02-13,01:35:00,kidnapping,mosque,28.625208,77.213658,Delhi,"484 {p} {s}, Delhi"
2026-01-02,17:33:00,theft,railway station,28.614917,77.174427,Delhi,"148 {p} {s}, Delhi"
2026-01-28,01:58:00,fraud,mall,23.026262,72.575913,Ahmedabad,"411 {p} {s}, Ahmedabad"
2026-03-03,05:16:00,burglary,bridge,19.066781,72.868162,Mumbai,"455 {p} {s}, Mumbai"
2026-01-10,14:42:00,theft,mall,22.612423,88.347319,Kolkata,"136 {p} {s}, Kolkata"
2026-01-06,23:54:00,hit and run,highway,17.377736,78.490161,Hyderabad,"122 {p} {s}, Hyderabad"
2026-01-11,00:31:00,assault,railway station,26.943278,75.801145,Jaipur,"387 {p} {s}, Jaipur"
2026-01-01,09:41:00,theft,main road,23.011758,72.564204,Ahmedabad,"285 {p} {s}, Ahmedabad"
2026-02-18,11:50:00,robbery,industrial area,22.972308,72.539648,Ahmedabad,"378 {p} {s}, Ahmedabad"
2026-03-27,02:30:00,assault,mohalla,28.648344,77.170837,Delhi,"429 {p} {s}, Delhi"
2026-03-10,05:00:00,assault,mosque,22.589508,88.405406,Kolkata,"295 {p} {s}, Kolkata"
2026-01-27,11:41:00,theft,main road,26.930678,75.749111,Jaipur,"215 {p} {s}, Jaipur"
2026-03-16,21:40:00,theft,bazaar,22.534841,88.345607,Kolkata,"288 {p} {s}, Kolkata"
2026-01-17,21:38:00,fraud,market,19.067667,72.876982,Mumbai,"104 {p} {s}, Mumbai"
2026-01-07,18:04:00,robbery,hospital,17.400724,78.487867,Hyderabad,"284 {p} {s}, Hyderabad"
2026-02-07,09:40:00,hit and run,bazaar,12.955689,77.565172,Bangalore,"163 {p} {s}, Bangalore"
2026-01-24,22:22:00,fraud,village,13.017025,77.636528,Bangalore,"393 {p} {s}, Bangalore"
2026-01-23,03:49:00,murder,mall,22.525387,88.315292,Kolkata,"163 {p} {s}, Kolkata"
2026-01-23,07:22:00,murder,mosque,18.555366,73.8598,Pune,"37 {p} {s}, Pune"
2026-01-31,14:54:00,robbery,park,26.828546,80.98352,Lucknow,"377 {p} {s}, Lucknow"
2026-02-12,23:57:00,assault,highway,28.590648,77.248444,Delhi,"321 {p} {s}, Delhi"
2026-03-25,16:33:00,burglary,industrial area,18.568018,73.850863,Pune,"18 {p} {s}, Pune"
2026-02-06,08:22:00,assault,industrial area,13.019234,77.58338,Bangalore,"133 {p} {s}, Bangalore"
2026-01-03,03:38:00,murder,residential area,13.033326,80.318122,Chennai,"329 {p} {s}, Chennai"
2026-03-31,12:36:00,murder,railway station,26.872647,80.969787,Lucknow,"326 {p} {s}, Lucknow"
2026-02-05,07:44:00,theft,railway station,22.977955,72.553818,Ahmedabad,"249 {p} {s}, Ahmedabad"
2026-02-26,04:23:00,murder,bus stand,22.983162,72.586001,Ahmedabad,"79 {p} {s}, Ahmedabad"
2026-02-27,23:56:00,theft,railway station,26.952397,75.792572,Jaipur,"152 {p} {s}, Jaipur"
2026-01-02,15:32:00,theft,village,12.963186,77.551602,Bangalore,"473 {p} {s}, Bangalore"
2026-01-28,03:51:00,fraud,residential area,28.592411,77.1723,Delhi,"35 {p} {s}, Delhi"
2026-03-08,12:17:00,theft,railway station,22.598641,88.321248,Kolkata,"142 {p} {s}, Kolkata"
2026-03-30,15:19:00,murder,office complex,26.84743,80.953707,Lucknow,"270 {p} {s}, Lucknow"
2026-03-02,21:24:00,theft,industrial area,26.826103,80.95008,Lucknow,"408 {p} {s}, Lucknow"
2026-02-12,23:21:00,fraud,temple,18.501886,73.80453,Pune,"136 {p} {s}, Pune"
2026-02-12,15:31:00,fraud,hospital,17.380946,78.461941,Hyderabad,"243 {p} {s}, Hyderabad"
2026-03-17,12:58:00,burglary,railway station,13.123479,80.230215,Chennai,"397 {p} {s}, Chennai"
2026-03-07,00:55:00,assault,village,17.341655,78.437129,Hyderabad,"250 {p} {s}, Hyderabad"
2026-02-18,06:07:00,burglary,highway,22.573016,88.359508,Kolkata,"40 {p} {s}, Kolkata"
2026-01-01,22:47:00,theft,highway,26.906004,75.831603,Jaipur,"16 {p} {s}, Jaipur"
2026-01-31,00:47:00,hit and run,bridge,23.000213,72.609363,Ahmedabad,"34 {p} {s}, Ahmedabad"
2026-03-02,19:59:00,assault,residential area,26.845324,80.904608,Lucknow,"124 {p} {s}, Lucknow"
2026-01-08,18:11:00,theft,village,19.079397,72.828413,Mumbai,"101 {p} {s}, Mumbai"
2026-03-06,21:18:00,kidnapping,bridge,26.81374,80.9318,Lucknow,"183 {p} {s}, Lucknow"
2026-03-04,14:46:00,fraud,industrial area,22.556284,88.398581,Kolkata,"280 {p} {s}, Kolkata"
2026-03-16,04:45:00,robbery,main road,26.801,80.899753,Lucknow,"117 {p} {s}, Lucknow"
2026-03-28,06:31:00,burglary,park,22.551943,88.387779,Kolkata,"165 {p} {s}, Kolkata"
2026-03-19,13:10:00,burglary,residential area,26.890405,75.763184,Jaipur,"70 {p} {s}, Jaipur"
2026-03-18,05:34:00,dowry death,mohalla,28.658632,77.193822,Delhi,"14 {p} {s}, Delhi"
2026-01-12,03:30:00,fraud,industrial area,26.865105,80.957752,Lucknow,"247 {p} {s}, Lucknow"
2026-02-13,09:59:00,robbery,mohalla,17.376504,78.439503,Hyderabad,"40 {p} {s}, Hyderabad"
2026-02-14,06:57:00,hit and run,railway station,17.392592,78.479946,Hyderabad,"117 {p} {s}, Hyderabad"
2026-02-22,00:28:00,assault,mohalla,23.041102,72.58002,Ahmedabad,"403 {p} {s}, Ahmedabad"
2026-01-09,02:58:00,kidnapping,bazaar,22.533271,88.391042,Kolkata,"245 {p} {s}, Kolkata"
2026-01-05,05:22:00,theft,office complex,28.589212,77.188683,Delhi,"41 {p} {s}, Delhi"
2026-03-15,20:37:00,robbery,mosque,18.546972,73.801144,Pune,"257 {p} {s}, Pune"
2026-01-29,21:22:00,hit and run,market,22.583365,88.377058,Kolkata,"408 {p} {s}, Kolkata"
2026-02-02,21:24:00,robbery,mall,19.10476,72.837477,Mumbai,"391 {p} {s}, Mumbai"
2026-03-23,20:02:00,dowry death,bridge,13.017974,77.560387,Bangalore,"441 {p} {s}, Bangalore"
2026-03-07,12:13:00,theft,temple,18.560487,73.836416,Pune,"407 {p} {s}, Pune"
2026-02-27,10:09:00,fraud,bridge,22.521037,88.390817,Kolkata,"126 {p} {s}, Kolkata"
2026-03-10,11:43:00,robbery,office complex,17.397665,78.483434,Hyderabad,"217 {p} {s}, Hyderabad"
2026-02-21,19:54:00,hit and run,bus stand,22.580451,88.360103,Kolkata,"455 {p} {s}, Kolkata"
2026-03-15,17:15:00,robbery,industrial area,28.635584,77.247378,Delhi,"215 {p} {s}, Delhi"
2026-01-23,07:21:00,kidnapping,park,28.637674,77.2032,Delhi,"300 {p} {s}, Delhi"
2026-03-15,22:25:00,theft,bazaar,28.604478,77.233506,Delhi,"350 {p} {s}, Delhi"
2026-01-14,03:02:00,assault,highway,22.985827,72.560685,Ahmedabad,"481 {p} {s}, Ahmedabad"
2026-01-16,18:29:00,hit and run,market,26.873182,80.891819,Lucknow,"192 {p} {s}, Lucknow"
2026-03-20,02:09:00,burglary,main road,13.047575,80.313124,Chennai,"395 {p} {s}, Chennai"
2026-03-21,11:52:00,robbery,highway,23.066297,72.554655,Ahmedabad,"413 {p} {s}, Ahmedabad"
2026-03-03,10:51:00,fraud,temple,26.89647,75.765221,Jaipur,"234 {p} {s}, Jaipur"
2026-01-17,03:06:00,theft,residential area,26.93286,75.820815,Jaipur,"108 {p} {s}, Jaipur"
2026-01-11,23:36:00,burglary,bridge,12.972638,77.612443,Bangalore,"37 {p} {s}, Bangalore"
2026-01-30,19:08:00,dowry death,mosque,17.365126,78.477531,Hyderabad,"456 {p} {s}, Hyderabad"
2026-03-22,19:08:00,robbery,bus stand,19.086526,72.901577,Mumbai,"319 {p} {s}, Mumbai"
2026-01-14,13:08:00,murder,school,13.015935,77.561276,Bangalore,"13 {p} {s}, Bangalore"
2026-01-08,08:25:00,murder,highway,26.817749,80.975496,Lucknow,"248 {p} {s}, Lucknow"
2026-03-31,02:05:00,assault,village,22.987538,72.540038,Ahmedabad,"279 {p} {s}, Ahmedabad"
2026-02-10,18:47:00,assault,park,12.950351,77.560223,Bangalore,"431 {p} {s}, Bangalore"
2026-01-24,16:48:00,kidnapping,mosque,18.539538,73.86896,Pune,"463 {p} {s}, Pune"
2026-01-22,14:23:00,assault,bus stand,13.091158,80.284552,Chennai,"83 {p} {s}, Chennai"
2026-02-06,14:12:00,dowry death,residential area,28.603005,77.209397,Delhi,"321 {p} {s}, Delhi"
2026-02-11,06:34:00,rape,slum area,19.076015,72.86671,Mumbai,"73 {p} {s}, Mumbai"
2026-01-14,02:12:00,robbery,bridge,28.568322,77.176177,Delhi,"222 {p} {s}, Delhi"
2026-02-10,12:45:00,robbery,mall,26.890579,75.806971,Jaipur,"237 {p} {s}, Jaipur"
2026-03-29,02:02:00,hit and run,hospital,28.630472,77.223328,Delhi,"151 {p} {s}, Delhi"
2026-01-31,07:08:00,fraud,office complex,28.658238,77.227436,Delhi,"216 {p} {s}, Delhi"
2026-01-07,10:37:00,assault,bazaar,26.839661,80.949444,Lucknow,"17 {p} {s}, Lucknow"
2026-02-21,13:29:00,assault,temple,22.998415,72.590442,Ahmedabad,"249 {p} {s}, Ahmedabad"
2026-01-10,00:00:00,robbery,office complex,19.10703,72.859436,Mumbai,"145 {p} {s}, Mumbai"
2026-03-14,11:54:00,kidnapping,office complex,19.071061,72.824916,Mumbai,"239 {p} {s}, Mumbai"
2026-01-27,22:59:00,burglary,bus stand,18.493482,73.808902,Pune,"299 {p} {s}, Pune"
2026-03-10,23:49:00,kidnapping,mosque,17.373661,78.491479,Hyderabad,"277 {p} {s}, Hyderabad"
2026-02-03,00:57:00,robbery,slum area,26.861574,75.750415,Jaipur,"406 {p} {s}, Jaipur"
2026-02-01,05:06:00,theft,highway,18.497886,73.814278,Pune,"64 {p} {s}, Pune"
2026-01-15,18:28:00,theft,temple,26.955308,75.764778,Jaipur,"194 {p} {s}, Jaipur"
2026-03-20,04:05:00,theft,residential area,19.021808,72.829767,Mumbai,"268 {p} {s}, Mumbai"
2026-03-23,13:59:00,theft,residential area,12.990985,77.617975,Bangalore,"289 {p} {s}, Bangalore"
2026-02-22,22:09:00,kidnapping,mohalla,18.549811,73.867964,Pune,"422 {p} {s}, Pune"
2026-02-27,07:51:00,assault,mall,26.927884,75.76425,Jaipur,"489 {p} {s}, Jaipur"
2026-03-10,21:20:00,burglary,slum area,13.037663,80.313364,Chennai,"133 {p} {s}, Chennai"
2026-03-27,00:27:00,burglary,office complex,13.046915,80.306413,Chennai,"184 {p} {s}, Chennai"
2026-01-25,13:59:00,rape,office complex,22.604139,88.359936,Kolkata,"136 {p} {s}, Kolkata"
2026-03-11,09:55:00,murder,temple,18.503611,73.86385,Pune,"252 {p} {s}, Pune"
2026-01-28,13:24:00,burglary,park,12.946964,77.596621,Bangalore,"176 {p} {s}, Bangalore"
2026-02-15,13:28:00,theft,temple,12.99252,77.599737,Bangalore,"85 {p} {s}, Bangalore"
2026-01-08,04:13:00,burglary,village,28.576114,77.232587,Delhi,"18 {p} {s}, Delhi"
2026-01-24,08:33:00,theft,main road,19.022675,72.856829,Mumbai,"277 {p} {s}, Mumbai"
2026-03-08,00:44:00,robbery,school,17.338172,78.493957,Hyderabad,"48 {p} {s}, Hyderabad"
2026-02-09,08:35:00,assault,bus stand,23.02235,72.59542,Ahmedabad,"105 {p} {s}, Ahmedabad"
2026-02-28,14:04:00,assault,bus stand,28.648051,77.162112,Delhi,"314 {p} {s}, Delhi"
2026-03-21,00:11:00,theft,park,22.577425,88.3727,Kolkata,"288 {p} {s}, Kolkata"
2026-01-13,10:28:00,theft,mohalla,13.041308,80.275529,Chennai,"115 {p} {s}, Chennai"
2026-02-22,21:09:00,theft,school,13.030008,80.247379,Chennai,"174 {p} {s}, Chennai"
2026-02-24,01:31:00,burglary,residential area,23.036564,72.566107,Ahmedabad,"51 {p} {s}, Ahmedabad"
2026-03-29,00:30:00,rape,highway,22.525009,88.387969,Kolkata,"420 {p} {s}, Kolkata"
2026-01-26,19:30:00,kidnapping,railway station,26.90437,75.82718,Jaipur,"47 {p} {s}, Jaipur"
2026-03-15,23:21:00,hit and run,highway,23.004857,72.551751,Ahmedabad,"413 {p} {s}, Ahmedabad"
2026-03-20,00:13:00,theft,residential area,17.356159,78.47148,Hyderabad,"461 {p} {s}, Hyderabad"
2026-01-04,15:57:00,theft,slum area,26.802659,80.890266,Lucknow,"227 {p} {s}, Lucknow"
2026-03-21,23:15:00,fraud,park,28.597975,77.205413,Delhi,"360 {p} {s}, Delhi"
2026-02-12,14:35:00,theft,construction site,23.00654,72.610496,Ahmedabad,"148 {p} {s}, Ahmedabad"
2026-03-13,19:26:00,murder,office complex,22.563663,88.403954,Kolkata,"334 {p} {s}, Kolkata"
2026-02-22,17:14:00,assault,mohalla,18.475515,73.855801,Pune,"214 {p} {s}, Pune"
2026-02-12,21:44:00,rape,industrial area,22.528942,88.386616,Kolkata,"218 {p} {s}, Kolkata"
2026-02-23,03:41:00,theft,mosque,23.040322,72.581648,Ahmedabad,"242 {p} {s}, Ahmedabad"
2026-02-04,21:31:00,assault,highway,17.334646,78.486578,Hyderabad,"5 {p} {s}, Hyderabad"
2026-01-09,20:39:00,murder,bus stand,17.347794,78.471504,Hyderabad,"214 {p} {s}, Hyderabad"
2026-02-20,21:10:00,fraud,main road,23.060118,72.527425,Ahmedabad,"387 {p} {s}, Ahmedabad"
2026-01-23,18:46:00,theft,bazaar,26.866251,75.782734,Jaipur,"64 {p} {s}, Jaipur"
2026-03-27,21:04:00,kidnapping,highway,13.122973,80.2597,Chennai,"167 {p} {s}, Chennai"
2026-03-20,12:48:00,fraud,mall,26.948584,75.764666,Jaipur,"355 {p} {s}, Jaipur"
2026-02-11,17:17:00,hit and run,school,18.479144,73.863546,Pune,"126 {p} {s}, Pune"
2026-03-06,18:57:00,theft,school,12.994611,77.630222,Bangalore,"30 {p} {s}, Bangalore"
2026-02-23,18:14:00,fraud,office complex,18.553337,73.848287,Pune,"311 {p} {s}, Pune"
2026-02-24,08:28:00,fraud,mohalla,22.533587,88.310585,Kolkata,"377 {p} {s}, Kolkata"
2026-03-16,16:21:00,theft,school,12.962516,77.614675,Bangalore,"413 {p} {s}, Bangalore"
2026-03-25,01:13:00,burglary,industrial area,12.969462,77.550789,Bangalore,"12 {p} {s}, Bangalore"
2026-03-16,23:52:00,dowry death,park,22.997194,72.528032,Ahmedabad,"157 {p} {s}, Ahmedabad"
2026-03-30,08:49:00,theft,temple,12.968803,77.554474,Bangalore,"153 {p} {s}, Bangalore"
2026-01-08,18:21:00,kidnapping,school,22.520447,88.367443,Kolkata,"295 {p} {s}, Kolkata"
2026-02-11,05:42:00,murder,railway station,26.871593,75.825385,Jaipur,"365 {p} {s}, Jaipur"
2026-02-07,22:08:00,assault,highway,26.861614,80.976956,Lucknow,"353 {p} {s}, Lucknow"
2026-02-20,02:31:00,theft,bridge,22.562303,88.323426,Kolkata,"107 {p} {s}, Kolkata"
2026-01-26,08:49:00,assault,park,26.8699,80.933536,Lucknow,"211 {p} {s}, Lucknow"
2026-03-13,11:09:00,robbery,office complex,19.103286,72.894136,Mumbai,"403 {p} {s}, Mumbai"
2026-01-02,11:20:00,theft,village,12.968592,77.58255,Bangalore,"288 {p} {s}, Bangalore"
2026-03-02,18:53:00,assault,main road,17.391979,78.523485,Hyderabad,"78 {p} {s}, Hyderabad"
2026-02-25,18:54:00,murder,mosque,22.551396,88.343472,Kolkata,"50 {p} {s}, Kolkata"
2026-01-17,15:27:00,theft,office complex,18.507774,73.871268,Pune,"207 {p} {s}, Pune"
2026-03-07,23:56:00,hit and run,school,18.539425,73.817152,Pune,"331 {p} {s}, Pune"
2026-03-25,06:46:00,robbery,mohalla,22.59294,88.373785,Kolkata,"39 {p} {s}, Kolkata"
2026-01-26,02:59:00,burglary,office complex,28.657957,77.235023,Delhi,"165 {p} {s}, Delhi"
2026-02-26,03:39:00,dowry death,school,19.040678,72.897245,Mumbai,"137 {p} {s}, Mumbai"
2026-03-13,18:38:00,fraud,village,12.993989,77.542912,Bangalore,"205 {p} {s}, Bangalore"
2026-01-24,08:19:00,theft,hospital,13.109048,80.301762,Chennai,"16 {p} {s}, Chennai"
2026-03-05,13:54:00,murder,office complex,22.539158,88.330306,Kolkata,"463 {p} {s}, Kolkata"
2026-03-06,23:34:00,burglary,park,19.046095,72.861457,Mumbai,"296 {p} {s}, Mumbai"
2026-02-19,03:15:00,assault,market,18.503911,73.815138,Pune,"407 {p} {s}, Pune"
2026-01-11,01:32:00,robbery,bazaar,26.850834,80.975892,Lucknow,"212 {p} {s}, Lucknow"
2026-03-20,19:01:00,robbery,village,13.061119,80.280569,Chennai,"494 {p} {s}, Chennai"
2026-03-21,19:56:00,assault,office complex,22.55608,88.378997,Kolkata,"461 {p} {s}, Kolkata"
2026-03-25,12:17:00,burglary,main road,28.636544,77.224347,Delhi,"387 {p} {s}, Delhi"
2026-01-21,01:04:00,robbery,school,22.611992,88.398842,Kolkata,"438 {p} {s}, Kolkata"
2026-01-20,16:41:00,theft,mall,28.602844,77.171235,Delhi,"234 {p} {s}, Delhi"
2026-01-06,03:43:00,theft,school,19.102733,72.845007,Mumbai,"480 {p} {s}, Mumbai"
2026-01-14,10:04:00,kidnapping,office complex,22.591877,88.408897,Kolkata,"63 {p} {s}, Kolkata"
2026-01-11,01:06:00,burglary,bridge,23.026328,72.608538,Ahmedabad,"223 {p} {s}, Ahmedabad"
2026-02-26,08:25:00,fraud,mohalla,28.58806,77.192117,Delhi,"73 {p} {s}, Delhi"
2026-03-27,03:54:00,assault,bus stand,18.509979,73.83668,Pune,"265 {p} {s}, Pune"
2026-02-17,00:35:00,burglary,hospital,26.915632,75.834395,Jaipur,"147 {p} {s}, Jaipur"
2026-01-20,09:49:00,burglary,mosque,19.104273,72.827045,Mumbai,"329 {p} {s}, Mumbai"
2026-03-14,07:05:00,assault,mohalla,28.635982,77.161856,Delhi,"37 {p} {s}, Delhi"
2026-03-28,17:03:00,theft,railway station,26.796691,80.937575,Lucknow,"387 {p} {s}, Lucknow"
2026-03-30,13:18:00,theft,railway station,17.421946,78.446512,Hyderabad,"186 {p} {s}, Hyderabad"
2026-01-20,02:48:00,theft,residential area,23.0058,72.559474,Ahmedabad,"32 {p} {s}, Ahmedabad"
2026-01-19,04:06:00,assault,industrial area,23.048893,72.542081,Ahmedabad,"33 {p} {s}, Ahmedabad"
2026-01-25,10:28:00,assault,main road,19.021108,72.856985,Mumbai,"250 {p} {s}, Mumbai"
2026-03-17,13:22:00,theft,bus stand,19.055653,72.845456,Mumbai,"369 {p} {s}, Mumbai"
2026-03-18,09:28:00,murder,railway station,26.853518,80.896121,Lucknow,"388 {p} {s}, Lucknow"
2026-01-13,19:21:00,assault,park,19.033429,72.89284,Mumbai,"326 {p} {s}, Mumbai"
2026-03-25,08:22:00,assault,slum area,28.626601,77.202509,Delhi,"342 {p} {s}, Delhi"
2026-01-20,22:41:00,theft,bazaar,22.535467,88.368988,Kolkata,"270 {p} {s}, Kolkata"
2026-01-28,09:28:00,robbery,village,17.390602,78.430819,Hyderabad,"110 {p} {s}, Hyderabad"
2026-03-28,18:22:00,fraud,bazaar,19.110527,72.918943,Mumbai,"120 {p} {s}, Mumbai"
2026-01-24,07:49:00,assault,slum area,23.035993,72.542827,Ahmedabad,"103 {p} {s}, Ahmedabad"
2026-01-21,11:01:00,hit and run,mohalla,26.917511,75.83178,Jaipur,"364 {p} {s}, Jaipur"
2026-01-05,19:15:00,burglary,school,13.031717,80.28134,Chennai,"362 {p} {s}, Chennai"
2026-03-05,09:45:00,assault,village,19.025279,72.824917,Mumbai,"249 {p} {s}, Mumbai"
2026-01-04,21:37:00,rape,market,26.902351,75.743892,Jaipur,"393 {p} {s}, Jaipur"
2026-01-05,03:02:00,burglary,railway station,17.429404,78.483702,Hyderabad,"422 {p} {s}, Hyderabad"
2026-03-19,02:35:00,dowry death,mosque,13.111303,80.256253,Chennai,"454 {p} {s}, Chennai"
2026-03-01,22:09:00,fraud,school,26.880841,80.961288,Lucknow,"35 {p} {s}, Lucknow"
2026-03-26,00:17:00,rape,school,23.006271,72.552742,Ahmedabad,"476 {p} {s}, Ahmedabad"
2026-01-17,00:33:00,fraud,hospital,26.881802,80.898673,Lucknow,"426 {p} {s}, Lucknow"
2026-03-04,06:25:00,robbery,mosque,26.935983,75.822767,Jaipur,"476 {p} {s}, Jaipur"
2026-01-09,16:33:00,theft,bus stand,19.069141,72.832061,Mumbai,"251 {p} {s}, Mumbai"
2026-03-31,21:48:00,hit and run,mohalla,23.031205,72.611639,Ahmedabad,"401 {p} {s}, Ahmedabad"
2026-02-19,10:50:00,dowry death,bazaar,12.994264,77.635264,Bangalore,"494 {p} {s}, Bangalore"
2026-01-04,12:31:00,dowry death,bridge,17.357869,78.443985,Hyderabad,"38 {p} {s}, Hyderabad"
2026-01-14,03:17:00,robbery,railway station,26.920409,75.75241,Jaipur,"336 {p} {s}, Jaipur"
2026-02-15,12:55:00,robbery,slum area,18.566026,73.826281,Pune,"277 {p} {s}, Pune"
2026-03-05,05:17:00,hit and run,railway station,26.904089,75.779928,Jaipur,"495 {p} {s}, Jaipur"
2026-03-03,00:02:00,murder,railway station,13.04475,80.275827,Chennai,"375 {p} {s}, Chennai"
2026-01-28,11:01:00,burglary,market,28.576649,77.190713,Delhi,"163 {p} {s}, Delhi"
2026-01-24,15:22:00,theft,school,13.095568,80.239408,Chennai,"386 {p} {s}, Chennai"
2026-03-09,08:06:00,assault,slum area,12.957708,77.580967,Bangalore,"74 {p} {s}, Bangalore"
2026-01-17,02:59:00,fraud,main road,13.066648,80.311808,Chennai,"182 {p} {s}, Chennai"
2026-03-19,03:50:00,hit and run,village,26.87976,75.774686,Jaipur,"274 {p} {s}, Jaipur"
2026-03-26,20:08:00,robbery,railway station,22.527673,88.359278,Kolkata,"116 {p} {s}, Kolkata"
2026-01-24,20:32:00,theft,railway station,26.869836,75.80767,Jaipur,"209 {p} {s}, Jaipur"
2026-02-24,02:53:00,burglary,park,22.599802,88.389961,Kolkata,"428 {p} {s}, Kolkata"
2026-01-18,17:24:00,theft,highway,17.343673,78.523421,Hyderabad,"238 {p} {s}, Hyderabad"
2026-02-14,11:54:00,dowry death,mall,18.515331,73.808661,Pune,"83 {p} {s}, Pune"
2026-01-05,10:18:00,dowry death,hospital,17.33675,78.456587,Hyderabad,"400 {p} {s}, Hyderabad"
2026-02-18,02:21:00,robbery,railway station,23.062349,72.547851,Ahmedabad,"198 {p} {s}, Ahmedabad"
2026-01-05,11:10:00,assault,residential area,13.053462,80.318441,Chennai,"349 {p} {s}, Chennai"
2026-03-06,20:37:00,burglary,industrial area,19.049957,72.86717,Mumbai,"352 {p} {s}, Mumbai"
2026-01-11,23:31:00,theft,village,26.941462,75.828806,Jaipur,"225 {p} {s}, Jaipur"
2026-03-24,11:05:00,theft,mosque,13.035667,80.304105,Chennai,"207 {p} {s}, Chennai"
2026-03-14,07:49:00,theft,office complex,12.933439,77.637686,Bangalore,"291 {p} {s}, Bangalore"
2026-01-14,01:49:00,robbery,bazaar,18.487249,73.862081,Pune,"197 {p} {s}, Pune"
2026-01-14,12:26:00,burglary,main road,13.031565,80.287497,Chennai,"130 {p} {s}, Chennai"
2026-01-08,22:02:00,theft,market,18.53913,73.840868,Pune,"499 {p} {s}, Pune"
2026-02-20,10:37:00,kidnapping,industrial area,12.988486,77.61602,Bangalore,"286 {p} {s}, Bangalore"
2026-02-14,02:36:00,burglary,office complex,17.394206,78.446068,Hyderabad,"386 {p} {s}, Hyderabad"
2026-03-12,13:00:00,burglary,residential area,26.959993,75.763908,Jaipur,"423 {p} {s}, Jaipur"
2026-01-12,06:43:00,assault,mall,13.077591,80.228216,Chennai,"361 {p} {s}, Chennai"
2026-02-20,17:50:00,robbery,bus stand,13.105509,80.289336,Chennai,"164 {p} {s}, Chennai"
2026-01-12,13:18:00,robbery,temple,17.359655,78.524493,Hyderabad,"354 {p} {s}, Hyderabad"
2026-01-09,08:07:00,theft,railway station,22.568796,88.333967,Kolkata,"339 {p} {s}, Kolkata"
2026-03-15,16:53:00,kidnapping,bus stand,19.07201,72.882136,Mumbai,"415 {p} {s}, Mumbai"
2026-02-10,23:26:00,dowry death,bus stand,18.481182,73.86076,Pune,"296 {p} {s}, Pune"
2026-02-28,19:20:00,assault,residential area,26.926559,75.829849,Jaipur,"180 {p} {s}, Jaipur"
2026-01-24,15:43:00,fraud,main road,23.020966,72.590226,Ahmedabad,"210 {p} {s}, Ahmedabad"
2026-01-11,02:06:00,murder,mall,17.391305,78.456346,Hyderabad,"207 {p} {s}, Hyderabad"
